Translation of English phrases into other languages
English                                                           Spanish                                                                 German                                                                     French                                                                       Japanese                                                        Russian                                                   Korean                                                               Greek                                                                     Polish                                                             Portugese                                                              Chinese (simplified)-                     Arabic
a few                                                             algunos                                                                 wenige                                                                     quelques                                                                     少数                                                            несколько                                                 몇                                                                   μερικά                                                                    kilka                                                              alguns                                                                 几                                        بعض                                            
a little                                                          un poco                                                                 ein wenig                                                                  un peu                                                                       少し                                                            немного                                                   조금                                                                 λίγο                                                                      trochę                                                             um pouco                                                               一点                                      قليلا
a long time ago                                                   Hace mucho tiempo                                                       vor langer zeit                                                            il ya longtemps                                                              昔                                                              давно                                                     오래 전                                                              Πριν από πολύ καιρό                                                       Dawno, dawno temu                                                  a muito tempo atrás                                                    很久以前                                  منذ وقت طويل
a one way ticket                                                  un boleto de ida                                                        ein einweg-ticket                                                          un billet aller simple                                                       片道切符                                                        билет в один конец                                        편도 항공권                                                          ένας τρόπος εισιτήριο                                                     Bilet w jedną stronę                                               um bilhete de ida                                                      单程票                                    تذكرة في اتجاه واحد
a round trip ticket                                               un billete de ida y vuelta                                              hin-und rückfahrt                                                          un billet aller-retour                                                       往復乗車券                                                      билет туда и обратно                                      왕복 항공권                                                          εισιτήριο                                                                 bilet powrotny                                                     um bilhete de ida e volta                                              往返车票                                  تذكرة ذهابا وإيابا
about 300 kilometers                                              a unos 300 kilómetros                                                   etwa 300 Kilometer                                                         à environ 300 kilomètres                                                     約300キロ                                                       примерно в 300 километрах                                 약 300km                                                             περίπου 300 χιλιόμετρα                                                    około 300 km                                                       cerca de 300 quilómetros                                               约300公里                                 نحو 300 كيلومترا
across from the post office                                       enfrente de la oficina de correos                                       gegenüber von der Post                                                     en face du bureau de poste                                                   郵便局の向かい                                                  напротив почтового отделения                              우체국 건너편                                                        απέναντι από το ταχυδρομείο                                               naprzeciwko urzędu pocztowego                                      em frente à estação de correios                                        从邮局对面                                على الجانب الآخر من مكتب البريد
all day                                                           todo el día                                                             ganzen tag                                                                 toute la journée                                                             一日中                                                          весь день                                                 하루 종일                                                            όλη την ημέρα                                                             cały dzień                                                         durante todo o dia                                                     整天                                      كل يوم
am I pronouncing it correctly                                     estoy pronunciando correctamente                                        bin ich es richtig auszusprechen                                           je prononce correctement                                                     私はそれを正しく発音しています                                  я правильно произношу его                                 나는 그것을 정확하게 발음하고                                        Είμαι το προφέρει σωστά                                                   ja go poprawnie wymawiając                                         estou pronunciá-lo corretamente                                        我在正确的发音是                          أنا نطق بشكل صحيح
amy is johns girlfriend                                           amy es johns novia                                                      amy ist Johns Freundin                                                     amy est Johns petite amie                                                    エイミーは、ジョンズのガールフレンドである                      Эми Джонс подруга                                         에이미 존스 여자 친구                                                Η Amy είναι Johns φίλη                                                    Amy jest dziewczyną Johns                                          amy é johns namorada                                                   Amy是约翰的女友                           ايمي هي جونز صديقة
and you                                                           y usted                                                                 und sie                                                                    et vous                                                                      あなたも                                                        и вы                                                      당신과                                                               και εσείς                                                                 a ty                                                               e você                                                                 和你                                      وأنت أيضا
